phillips	philips	163054	865500	233012
kelly	kelley	159604	502404	370227
kelley	kelly	158500	350689	450545
clarke	clark	152906	378212	1096101
mitchell	mitchel	150273	724600	202828
matthews	mathews	146983	412715	285899
clark	clarke	139024	1168804	335902
greene	green	128998	250341	795175
wood	woods	113678	781291	359315
abbott	abbot	109440	391376	141290
hayes	hays	108342	404570	227213
russell	russel	100734	530276	136592
wolfe	wolf	98017	232753	238922
osborne	osborn	95239	272586	225281
steele	steel	90339	263182	152641
bailey	baily	89910	725361	123012
bennett	bennet	89166	659368	122963
cooke	cook	84886	187384	678839
elliott	elliot	83498	397034	127495
hughes	hughs	78501	518664	106557
parrish	parish	77529	179308	138774
rogers	rodgers	75918	658128	186286
murray	murry	74774	351926	110286
poole	pool	73504	190042	145117
macdonald	mcdonald	72927	164689	383473
vaughan	vaughn	71608	170894	201288
douglas	douglass	70729	223182	129586
daniel	daniels	65255	230467	217009
barnes	barns	62861	538178	91701
mathews	matthews	62597	185895	252283
edwards	edward	61570	600402	93633
hansen	hanson	59933	189161	229040
owen	owens	58627	244269	278218
gray	grey	57656	485144	100206
robbins	robins	57404	226081	105429
boone	boon	54822	176811	90654
richards	richard	54067	309507	145902
osborn	osborne	53157	186887	182778
burke	burk	52981	213897	109498
daniels	daniel	51460	225921	200377
vaughn	vaughan	51373	200645	143210
douglass	douglas	49428	106155	173684
petersen	peterson	47821	95784	333183
sharpe	sharp	47161	101803	250892
jordan	jordon	46453	359700	67928
myers	myres	45931	453069	67572
pittman	pitman	45916	125675	84796
fleming	flemming	44665	208502	65323
marshall	marshal	44482	397394	61635
murphy	murphey	43914	410847	63900
snyder	snider	43626	286408	128208
chamberlain	chamberlin	42508	145738	74069
elliot	elliott	42346	104038	314466
walter	walters	42027	129802	216246
blankenship	blankinship	41962	133518	55962
lloyd	loyd	41918	182878	79678
horne	horn	41897	108763	157105
byrd	bird	41672	154685	202973
hays	hayes	41407	144394	277104
kennedy	kenedy	39998	357423	54214
carroll	carrol	39840	266319	55996
ayers	ayres	38345	135872	90185
dickinson	dickenson	38147	131141	65967
whitaker	whittaker	37786	174924	89290
sharp	sharpe	37539	249896	87966
lawrence	laurence	37168	326985	56170
bentley	bently	37052	138547	48843
sims	simms	37037	212113	80759
harmon	harman	36897	183079	95113
mullins	mullens	36871	174118	56519
frye	fry	36041	86641	186132
walters	walter	36017	213579	147551
larsen	larson	35093	87810	165857
hardin	harden	35079	135114	84014
olsen	olson	34687	97062	192612
crowe	crow	34147	74669	143757
hanson	hansen	33748	188724	151761
welch	welsh	33724	256858	108125
locke	lock	33676	97299	78737
pennington	penington	33499	140648	45001
coffey	coffee	32193	119825	56754
cunningham	cuningham	32009	273763	42595
shepherd	shephard	31475	224703	63161
mackenzie	mckenzie	31390	70839	126842
bradley	bradly	31348	288921	41678
francis	frances	31153	160352	49914
lyon	lyons	30856	124314	139145
olson	olsen	30783	180246	90381
lindsey	lindsay	29997	148322	90508
foote	foot	29855	86002	49928
garrett	garret	28995	257070	40387
holley	holly	28828	83054	56590
parsons	parson	28483	237258	53752
thorpe	thorp	28100	88370	71506
thorne	thorn	28031	78910	69674
lowe	low	27724	226080	73338
coates	coats	27679	94051	73448
ayres	ayers	27657	77300	114482
shaffer	shafer	27605	135951	92013
barnett	barnet	27487	262389	40188
wolf	wolfe	27298	143491	135281
kirby	kerby	27088	168868	46961
griffiths	griffith	26974	116843	178401
carey	cary	26857	134080	73575
gillespie	gillispie	26814	140535	42461
hewitt	hewett	26795	132650	54888
abernathy	abernethy	26744	137071	40508
meade	mead	26364	60455	114077
abell	abel	26200	77407	82890
storey	story	26189	72370	86305
field	fields	26179	124638	152792
lindsay	lindsey	26157	96639	115441
yancey	yancy	25823	52966	38845
oneill	oneil	25580	104851	75007
stanley	stanly	25393	203112	34092
dailey	daily	25296	81728	65446
lowery	lowry	25227	113843	85696
bartlett	bartlet	25182	202520	34007
callaway	calloway	25143	73957	45724
woolley	wooley	24812	65839	48491
melton	milton	24808	118956	64026
mckenzie	mckinzie	24327	178166	39055
lowry	lowery	24260	103813	87543
hamm	ham	24205	64816	79094
winter	winters	24154	102532	91129
weber	webber	24071	142472	89954
jensen	jenson	24034	136167	40220
talley	tally	24005	77199	37821
denney	denny	23902	55127	68378
conner	connor	23772	140958	81337
hoffmann	hoffman	23704	45416	190792
waggoner	wagoner	23512	89726	75624
ivey	ivy	23276	70906	54912
jacobs	jacob	23222	180628	58832
wilcox	willcox	23199	176669	37146
whittaker	whitaker	23195	74068	131956
lacey	lacy	23194	66481	73106
mccormick	mccormack	22757	187882	51248
sellers	sellars	22670	116493	40841
chamberlin	chamberlain	22477	46362	110344
waite	wait	22420	82000	44658
crockett	crocket	22375	86048	30256
parish	parrish	22359	69685	107311
pruitt	pruett	22236	120399	58952
holcombe	holcomb	22231	49461	84798
macleod	mcleod	22225	41119	85881
galloway	gallaway	22181	105299	33093
humphreys	humphrey	21880	101952	123425
choate	choat	21703	55662	30769
oakes	oaks	21641	67719	48922
larson	larsen	21532	135942	71744
