clark	clarke	3017	39632	18551
clarke	clark	2939	18551	39632
davies	davis	1715	20011	50673
davis	davies	1706	50673	20011
kelley	kelly	1301	7466	20683
kelly	kelley	1296	20683	7466
wood	woods	1205	28707	12520
macdonald	mcdonald	1181	6739	15459
woods	wood	1175	12520	28707
mcdonald	macdonald	1174	15459	6739
rogers	rodgers	1154	22135	6051
thompson	thomson	1144	41783	6691
rodgers	rogers	1132	6051	22135
cooke	cook	1060	6893	25885
cook	cooke	1060	25885	6893
stevens	stephens	1047	16019	10718
grey	gray	1036	4031	19111
stephens	stevens	1035	10718	16019
green	greene	1018	32848	5789
greene	green	983	5789	32848
gray	grey	972	19111	4031
matthews	mathews	967	12367	5113
mathews	matthews	964	5113	12367
philips	phillips	930	2864	24496
phillips	philips	889	24496	2864
owen	owens	801	9877	9526
saunders	sanders	794	10216	11705
sanders	saunders	768	11705	10216
owens	owen	749	9526	9877
stewart	stuart	741	21896	4938
stuart	stewart	741	4938	21896
elliot	elliott	725	3812	12106
sharpe	sharp	691	3954	9052
reid	reed	688	10484	17527
reed	reid	677	17527	10484
sharp	sharpe	677	9052	3954
bennet	bennett	613	2184	21243
hayes	hays	588	12917	3299
elliott	elliot	575	12106	3812
osborn	osborne	564	4012	6909
reed	read	554	17527	5933
osborne	osborn	550	6909	4012
steele	steel	546	6753	3321
hays	hayes	540	3299	12917
steel	steele	533	3321	6753
daniels	daniel	533	7624	5502
read	reed	531	5933	17527
bennett	bennet	524	21243	2184
daniel	daniels	519	5502	7624
myers	meyers	515	11716	3886
johnston	johnstone	512	13081	3009
meyers	myers	507	3886	11716
stephenson	stevenson	503	6445	7366
welsh	welch	493	4213	8310
johnstone	johnston	490	3009	13081
mackenzie	mckenzie	481	3158	5852
stevenson	stephenson	479	7366	6445
nichols	nicholls	472	10008	4378
gardiner	gardner	469	3862	11270
brookes	brooks	469	2350	15705
welch	welsh	463	8310	4213
mckenzie	mackenzie	462	5852	3158
pierce	pearce	461	8754	8497
pearce	pierce	458	8497	8754
griffith	griffiths	456	5896	8366
dixon	dickson	452	12749	4268
hansen	hanson	452	6384	6908
hanson	hansen	452	6908	6384
griffiths	griffith	452	8366	5896
douglas	douglass	447	7631	2079
wolfe	wolf	446	4663	4480
gardner	gardiner	445	11270	3862
davidson	davison	443	9345	3884
olsen	olson	441	4096	6052
nicholls	nichols	425	4378	10008
brooks	brookes	419	15705	2350
dickson	dixon	413	4268	12749
davison	davidson	409	3884	9345
andrew	andrews	403	2962	12678
russel	russell	401	1236	17940
douglass	douglas	399	2079	7631
olson	olsen	399	6052	4096
wolf	wolfe	398	4480	4663
vaughn	vaughan	394	4766	4718
poole	pool	392	6014	2075
patterson	paterson	392	12362	3001
simms	sims	391	2657	6411
mackay	mckay	380	2724	4938
walsh	welsh	380	9590	4213
richard	richards	378	3739	13537
walter	walters	375	4185	7850
paterson	patterson	372	3001	12362
sims	simms	368	6411	2657
vaughan	vaughn	364	4718	4766
